"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Intervenant;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
73;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";504;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 504 (CUVE FOD 6000 L)";;
74;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";504;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 504 (CUVE FOD 6000 L)";;
75;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";504;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 504 (CUVE FOD 6000 L)";;
76;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";518;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
77;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";518;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
78;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";518;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
79;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";519;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
80;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";519;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
81;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";519;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
82;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";528;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 528 (BACHE 2M3 0,5B ACIER)";;
83;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";528;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 528 (BACHE 2M3 0,5B ACIER)";;
84;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";528;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 528 (BACHE 2M3 0,5B ACIER)";;
85;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";129;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;
86;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";129;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;
