"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Opérateur;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
14;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";101;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
15;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";101;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
51;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";141;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
52;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";141;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 141 (VAP 3T2 16b GN/FOD)";;
53;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";141;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 141 (VAP 3T2 16b GN/FOD)";;
69;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";115;BRULEUR;"Pompe fuel fuyarde par l'arbre. Pompe HS.
pompe commandée
pompe receptionnée";"Remplacement de la pompe (pompe pas encore commandée).";
66;X;;20/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";600;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
67;X;20/09/2017;20/09/2017;"DESURMONTJU (Julien Desurmont)";600;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";test;
68;X;;20/09/2017;"BAZELISAL (Alexandre Bazelis)";600;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 600 (BALLON DETENTE PURGES SPE ES)";;
76;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";518;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
