"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Opérateur;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
145;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";152;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 152 (VAP 6T 28b GN/FOD ancien design)";;
146;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";152;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 152 (VAP 6T 28b GN/FOD ancien design)";;
147;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";152;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 152 (VAP 6T 28b GN/FOD ancien design)";;
148;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";501;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 501 (BACHE 17M3 6B)";;
149;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";501;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 501 (BACHE 17M3 6B)";;
150;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";501;"BÂCHE 17m3";"réaliser les modifications de la campagne technique";;
151;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";502;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 502 (BACHE 1,2 M3 ATM)";;
152;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";502;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 502 (BACHE 1,2 M3 ATM)";;
153;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";502;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 502 (BACHE 1,2 M3 ATM)";;
154;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";502;"NIVEAU VISUEL";"niveau visuel hs, reglette a ailette absente
piece commandée";;
155;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";505;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 505 (EXP. EC 1000 L + POMPE)";;
156;X;19/06/2014;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";505;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 505 (EXP. EC 1000 L + POMPE)";"pas de check technique sur ce module";
157;X;16/06/2014;29/01/2018;"BAZELISAL (Alexandre Bazelis)";505;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 505 (EXP. EC 1000 L + POMPE)";"pas d'IBC";
158;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";506;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 506 (EXP. EC 500 L)";;
159;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";506;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 506 (EXP. EC 500 L)";;
160;X;02/12/2014;29/01/2018;"BAZELISAL (Alexandre Bazelis)";506;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 506 (EXP. EC 500 L)";"pas d'ibc";
161;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";508;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 508 (BACHE 2M3 0,5B INOX)";;
162;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";508;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 508 (BACHE 2M3 0,5B INOX)";;
163;X;29/01/2018;29/01/2018;"BAZELISAL (Alexandre Bazelis)";508;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 508 (BACHE 2M3 0,5B INOX)";"pas ibc";
164;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";510;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 510 (BARILLET DN200 INOX x20b)";;
165;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";510;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 510 (BARILLET DN200 INOX x20b)";;
166;X;29/01/2018;29/01/2018;"BAZELISAL (Alexandre Bazelis)";510;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 510 (BARILLET DN200 INOX x20b)";"pas ibc";
167;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";511;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 511 (BALLON EXTRACTION 450l)";;
168;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";511;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 511 (BALLON EXTRACTION 450l)";;
169;X;29/01/2018;29/01/2018;"BAZELISAL (Alexandre Bazelis)";511;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 511 (BALLON EXTRACTION 450l)";;
170;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";513;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 513 (SILENCIEUX VAPEUR 30T 20B)";;
171;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";513;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 513 (SILENCIEUX VAPEUR 30T 20B)";;
172;X;29/01/2018;29/01/2018;"BAZELISAL (Alexandre Bazelis)";513;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 513 (SILENCIEUX VAPEUR 30T 20B)";;
173;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";520;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 520 (MODULE ADOUCISSEUR 8,4M3/H)";;
174;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";520;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 520 (MODULE ADOUCISSEUR 8,4M3/H)";;
175;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";520;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 520 (MODULE ADOUCISSEUR 8,4M3/H)";;
176;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";521;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 521 (MODULE ADOUCISSEUR 8,4M3/H)";;
177;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";521;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 521 (MODULE ADOUCISSEUR 8,4M3/H)";;
178;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";521;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 521 (MODULE ADOUCISSEUR 8,4M3/H)";;
179;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";523;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 523 (BALLON DE DETENTE DES PURGES & EXTRACTIONS)";;
180;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";523;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 523 (BALLON DE DETENTE DES PURGES & EXTRACTIONS)";;
181;X;29/01/2018;29/01/2018;"BAZELISAL (Alexandre Bazelis)";523;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 523 (BALLON DE DETENTE DES PURGES & EXTRACTIONS)";;
182;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";524;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 524 (Cuve FOD 15m3)";;
183;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";524;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 524 (Cuve FOD 15m3)";;
184;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";524;TUYAUTERIE;"effectuer la mise en conformité de la tuayuterie";;
185;X;;29/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";526;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 526 (BACHE 17,5M3 0,5B INOX)";;
186;X;;29/01/2018;"0_TECHNICIENS (Groupe Techniciens)";526;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 526 (BACHE 17,5M3 0,5B INOX)";;
187;X;;29/01/2018;"BAZELISAL (Alexandre Bazelis)";526;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 526 (BACHE 17,5M3 0,5B INOX)";;
121;;;23/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";153;MÉCANIQUE;"corriger les reserves sur m153
la remettre en mode vapeur
consulter le rapport de réception";;X
100;X;;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";130;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 130 (VAP 6T 28b GN/FOD)";;
101;X;;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";130;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 130 (VAP 6T 28b GN/FOD)";;
102;X;;22/01/2018;"BAZELISAL (Alexandre Bazelis)";130;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 130 (VAP 6T 28b GN/FOD)";;
103;X;;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";527;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 527 (BALLON DETENTE PURGES 450l)";;
104;X;;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";527;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 527 (BALLON DETENTE PURGES 450l)";;
105;X;;22/01/2018;"BAZELISAL (Alexandre Bazelis)";527;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 527 (BALLON DETENTE PURGES 450l)";;
106;X;;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";615;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 615 (SILENCIEUX VAPEUR)";;
107;X;;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";615;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 615 (SILENCIEUX VAPEUR)";;
108;X;;22/01/2018;"BAZELISAL (Alexandre Bazelis)";615;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 615 (SILENCIEUX VAPEUR)";;
109;X;13/12/2017;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";529;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 529 (BACHE 2M3 0,5B ACIER)";"pierre nagy ras";X
110;X;13/12/2017;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";529;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 529 (BACHE 2M3 0,5B ACIER)";"ras pierre nagy";X
111;X;22/01/2018;22/01/2018;"BAZELISAL (Alexandre Bazelis)";529;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 529 (BACHE 2M3 0,5B ACIER)";;
112;X;06/12/2017;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";557;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;X
113;X;06/12/2017;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";557;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;X
114;X;22/01/2018;22/01/2018;"BAZELISAL (Alexandre Bazelis)";557;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 557 (MODULE ADOUCISSEUR 3,2M3/H)";;
115;X;10/01/2018;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";113;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 113 (VAP 1,25T 16B GN/FOD)";"pierre nagy
cote eau tres sale 
lavage au karcher";X
116;X;10/01/2018;22/01/2018;"LEFEBVRERE (Rémy Lefebvre)";113;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 113 (VAP 1,25T 16B GN/FOD)";ras;X
117;X;10/01/2018;22/01/2018;"BAZELISAL (Alexandre Bazelis)";113;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 113 (VAP 1,25T 16B GN/FOD)";;
118;X;01/12/2017;22/01/2018;"0_MÉCANICIENS (Groupe mécaniciens)";152;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 152 (VAP 6T 28b GN/FOD ancien design)";;X
119;X;08/12/2017;22/01/2018;"0_TECHNICIENS (Groupe Techniciens)";152;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 152 (VAP 6T 28b GN/FOD ancien design)";ras;X
120;X;08/12/2017;22/01/2018;"BAZELISAL (Alexandre Bazelis)";152;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 152 (VAP 6T 28b GN/FOD ancien design)";;
97;X;05/12/2017;21/11/2017;"0_MÉCANICIENS (Groupe mécaniciens)";116;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;X
98;X;06/12/2017;21/11/2017;"0_TECHNICIENS (Groupe Techniciens)";116;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";ras;X
99;X;22/01/2018;21/11/2017;"BAZELISAL (Alexandre Bazelis)";116;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 116 (VAP 3T2 16b GN/FOD)";;
94;X;05/09/2017;09/11/2017;"0_MÉCANICIENS (Groupe mécaniciens)";116;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;
95;X;05/09/2017;09/11/2017;"0_TECHNICIENS (Groupe Techniciens)";116;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;
96;X;04/09/0207;09/11/2017;"BAZELISAL (Alexandre Bazelis)";116;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 116 (VAP 3T2 16b GN/FOD)";lbc;
91;X;03/10/2017;03/10/2017;"0_MÉCANICIENS (Groupe mécaniciens)";116;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";;X
92;X;03/10/2017;03/10/2017;"0_TECHNICIENS (Groupe Techniciens)";116;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 116 (VAP 3T2 16b GN/FOD)";"courbe gaz remis suite derniere loc au butane";X
93;X;03/10/2017;03/10/2017;"BAZELISAL (Alexandre Bazelis)";116;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 116 (VAP 3T2 16b GN/FOD)";"PAS IBC";
73;X;15/12/2017;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";504;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 504 (CUVE FOD 6000 L)";;
74;X;15/12/2017;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";504;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 504 (CUVE FOD 6000 L)";;
75;X;15/12/2017;25/09/2017;"BAZELISAL (Alexandre Bazelis)";504;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 504 (CUVE FOD 6000 L)";;
76;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";518;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
77;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";518;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
78;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";518;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 518 (MODULE ADOUCISSEUR 4M3/H)";;
79;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";519;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
80;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";519;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
81;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";519;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 519 (MODULE ADOUCISSEUR 8,4M3/H)";;
82;X;06/12/2017;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";528;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 528 (BACHE 2M3 0,5B ACIER)";;X
83;X;05/12/2017;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";528;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 528 (BACHE 2M3 0,5B ACIER)";;
84;X;22/01/2018;25/09/2017;"BAZELISAL (Alexandre Bazelis)";528;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 528 (BACHE 2M3 0,5B ACIER)";;
85;X;13/11/2017;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";129;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;X
86;X;15/11/2017;25/09/2017;"GINERWI (William Giner)";129;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 129 (VAP 3T2 16b GN/FOD)";;X
87;X;15/11/2017;25/09/2017;"BAZELISAL (Alexandre Bazelis)";129;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 129 (VAP 3T2 16b GN/FOD)";;
88;X;;25/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";552;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 552 (DETENDEUR VAPEUR DN80)";;
89;X;;25/09/2017;"0_TECHNICIENS (Groupe Techniciens)";552;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 552 (DETENDEUR VAPEUR DN80)";;
90;X;;25/09/2017;"BAZELISAL (Alexandre Bazelis)";552;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 552 (DETENDEUR VAPEUR DN80)";;
66;X;;20/09/2017;"0_MÉCANICIENS (Groupe mécaniciens)";600;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";;
67;X;20/09/2017;20/09/2017;"DESURMONTJU (Julien Desurmont)";600;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 600 (BALLON DETENTE PURGES SPE ES)";test;
68;X;;20/09/2017;"BAZELISAL (Alexandre Bazelis)";600;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 600 (BALLON DETENTE PURGES SPE ES)";;
69;X;;20/09/2017;"0_TECHNICIENS (Groupe Techniciens)";115;"BRULEUR
";"Pompe fuel fuyarde par l'arbre. Pompe HS.
pompe commandée
pompe receptionnée";"Remplacement de la pompe (pompe pas encore commandée).";
