"Problèmes Techniques"
Référence;Bloquant;"Date de correction";"Date de signalement";Intervenant;Module(s);Equipement;Description;Solution;"Fichier(s) joint(s)"
11;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";114;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
12;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";114;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 114 (VAP 1,25T 16B GN/FOD)";;
13;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";114;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 114 (VAP 1,25T 16B GN/FOD)";;
14;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";101;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
15;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";101;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 101 (EC 3700 KW GN/FOD)";;
16;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";101;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 101 (EC 3700 KW GN/FOD)";;
17;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";121;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
18;X;;31/08/2017;"0_TECHNICIENS (Groupe Techniciens)";121;"CHECK TECHNICIEN";"Effectuer le check technicien
Vérifier les problèmes déclarés sur le module 121 (VAP 6T 28b GN/FOD)";;
19;X;;31/08/2017;"BAZELISAL (Alexandre Bazelis)";121;"MISE A JOUR AUTOMATE ET COMMUNICATION";"Effectuer la mise à jour de l'automate et de la communication pour le module 121 (VAP 6T 28b GN/FOD)";;
20;X;;31/08/2017;"0_MÉCANICIENS (Groupe mécaniciens)";102;"CHECK MÉCANICIEN";"Effectuer le check mécanicien
Vérifier les problèmes déclarés sur le module 102 (EC 3700 KW GN/FOD)";;
